learn_rate,num_hidden_nodes,weight_range,beta,c,error
0.5,2,0.5,0.0,0.0,17.183363
0.5,2,0.5,0.0,250.0,8.55934176973349
0.5,2,0.5,250.0,0.0,17.183363
0.5,2,0.5,250.0,250.0,10.178254923244545
0.5,2,3.0,0.0,0.0,17.183363
0.5,2,3.0,0.0,250.0,6.35281761204055
0.5,2,3.0,250.0,0.0,17.183363
0.5,2,3.0,250.0,250.0,6.875453893679511
0.5,8,0.5,0.0,0.0,17.183363
0.5,8,0.5,0.0,250.0,6.826878887665348
0.5,8,0.5,250.0,0.0,17.183363
0.5,8,0.5,250.0,250.0,7.685714953179962
0.5,8,3.0,0.0,0.0,17.183363
0.5,8,3.0,0.0,250.0,5.108313817235898
0.5,8,3.0,250.0,0.0,17.183363
0.5,8,3.0,250.0,250.0,5.880327797874933
0.5,14,0.5,0.0,0.0,17.183363
0.5,14,0.5,0.0,250.0,5.8132252374952
0.5,14,0.5,250.0,0.0,17.183363
0.5,14,0.5,250.0,250.0,7.043636250815663
0.5,14,3.0,0.0,0.0,17.183363
0.5,14,3.0,0.0,250.0,5.367601983636564
0.5,14,3.0,250.0,0.0,17.183363
0.5,14,3.0,250.0,250.0,5.52066993228598
3.0,2,0.5,0.0,0.0,17.183363
3.0,2,0.5,0.0,250.0,4.174306047277447
3.0,2,0.5,250.0,0.0,17.183363
3.0,2,0.5,250.0,250.0,5.08230666095958
3.0,2,3.0,0.0,0.0,17.183363
3.0,2,3.0,0.0,250.0,2.6791387590536635
3.0,2,3.0,250.0,0.0,17.183363
3.0,2,3.0,250.0,250.0,3.096749244628168
3.0,8,0.5,0.0,0.0,17.183363
3.0,8,0.5,0.0,250.0,2.7949647702543063
3.0,8,0.5,250.0,0.0,17.183363
3.0,8,0.5,250.0,250.0,3.0796802711524043
3.0,8,3.0,0.0,0.0,17.183363
3.0,8,3.0,0.0,250.0,1.3948501710896042
3.0,8,3.0,250.0,0.0,17.183363
3.0,8,3.0,250.0,250.0,1.529908567835141
