param combination,hn,lr,wr,beta,error_val
0,4,1.5,1,400,1.733809866
1,4,1.5,2,450,0.8530782
2,4,1.5,3,500,0.7407521
3,4,2,1,450,1.49931438
4,4,2,2,500,0.721633107
5,4,2,3,400,0.450338762
6,4,2.5,1,500,1.225737709
7,4,2.5,2,400,0.541105496
8,4,2.5,3,450,0.419740026
9,8,1.5,1,450,1.574037639
10,8,1.5,2,500,0.363121461
11,8,1.5,3,400,0.698938995
12,8,2,1,500,1.427017591
13,8,2,2,400,0.377988318
14,8,2,3,450,0.367951551
15,8,2.5,1,400,1.163330405
16,8,2.5,2,450,0.315529517
17,8,2.5,3,500,0.344111763
18,12,1.5,1,500,1.440360013
19,12,1.5,2,400,0.223360276
20,12,1.5,3,450,0.687125453
21,12,2,1,400,1.339347509
22,12,2,2,450,0.258839719
23,12,2,3,500,0.589510437
24,12,2.5,1,450,1.243684445
25,12,2.5,2,500,0.235095182
26,12,2.5,3,400,0.505923797
