hn,lr,wr,beta,error_val
4,1.5,1,400,4.829059541
4,1.5,2,450,3.529372472
4,1.5,3,500,3.621759854
4,2,1,450,4.062028944
4,2,2,500,2.874816452
4,2,3,400,2.878972824
4,2.5,1,500,3.415663644
4,2.5,2,400,2.355318905
4,2.5,3,450,2.413484708
8,1.5,1,450,3.816363059
8,1.5,2,500,2.295421953
8,1.5,3,400,2.86714877
8,2,1,500,2.99358461
8,2,2,400,1.76194403
8,2,3,450,2.195950916
8,2.5,1,400,2.429374347
8,2.5,2,450,1.444088671
8,2.5,3,500,1.928140692
12,1.5,1,500,3.260203819
12,1.5,2,400,1.82296793
12,1.5,3,450,2.863854832
12,2,1,400,2.520470122
12,2,2,450,1.484254615
12,2,3,500,2.612422633
12,2.5,1,450,2.169682421
12,2.5,2,500,1.470994525
12,2.5,3,400,2.725054312
