hyperparam combo,hn,lr,wr,beta,error_val,error_val_respProbs
0,2,0.1,1,10,7.84802609,10.90201568
1,2,0.1,2,20,10.68657345,11.98796588
2,2,0.1,3,30,13.43823634,13.68694168
3,2,0.3,1,20,6.917951082,8.371067333
4,2,0.3,2,30,6.651892633,8.211101873
5,2,0.3,3,10,8.481827539,10.07166676
6,2,0.6,1,30,7.165951313,7.505519868
7,2,0.6,2,10,5.307934988,7.295983662
8,2,0.6,3,20,6.20489093,7.448727292
9,3,0.1,1,20,7.573320711,9.895592626
10,3,0.1,2,30,10.30355831,11.30271658
11,3,0.1,3,10,12.61965307,13.42328718
12,3,0.3,1,30,6.467626629,7.913436634
13,3,0.3,2,10,5.916433906,8.310476894
14,3,0.3,3,20,8.465044695,9.357832476
15,3,0.6,1,10,5.83042868,7.495259072
16,3,0.6,2,20,4.742138629,6.217474924
17,3,0.6,3,30,5.847685195,6.841821275
18,4,0.1,1,30,7.360080129,9.34307738
19,4,0.1,2,10,10.02663991,11.47509393
20,4,0.1,3,20,12.75426816,12.86748231
21,4,0.3,1,10,5.71839748,8.19584782
22,4,0.3,2,20,5.837483223,7.488933604
23,4,0.3,3,30,8.214611746,9.075538415
24,4,0.6,1,20,5.743734449,6.70529075
25,4,0.6,2,30,4.430459066,5.621283108
26,4,0.6,3,10,5.418393332,7.028542417
,,,,average,7.628638581,9.038517682
,,,,stdev,2.501621681,2.244707446
,,,,0.033835135,,
