combination,hn,lr,wr,beta,error_val
0,2,0.1,1,10,9.164297
1,2,0.1,2,20,12.46933966
2,2,0.1,3,30,14.76160494
3,2,0.3,1,20,7.559225469
4,2,0.3,2,30,7.722104344
5,2,0.3,3,10,9.965845719
6,2,0.6,1,30,7.117252875
7,2,0.6,2,10,6.204332344
8,2,0.6,3,20,7.537255344
9,3,0.1,1,20,8.612950094
10,3,0.1,2,30,11.95429113
11,3,0.1,3,10,14.52602275
12,3,0.3,1,30,6.962028
13,3,0.3,2,10,7.182718437
14,3,0.3,3,20,9.563890281
15,3,0.6,1,10,6.351673625
16,3,0.6,2,20,5.470341969
17,3,0.6,3,30,7.071631969
18,4,0.1,1,30,8.372700063
19,4,0.1,2,10,11.38720872
20,4,0.1,3,20,14.02465703
21,4,0.3,1,10,6.574239406
22,4,0.3,2,20,6.862479063
23,4,0.3,3,30,9.540275813
24,4,0.6,1,20,5.8395465
25,4,0.6,2,30,5.030983938
26,4,0.6,3,10,6.883285125
